x Curve1
-103.182 -103.182
-103.182 -103.182
-102.727 60.2828
-101.818 64.0617
-99.5455 55.0643
-99.0909 52.545
-95.6818 49.8458
-95 47.3265
-94.5455 30.5913
-94.5455 30.5913
-94.3182 42.3779
-94.3182 42.3779
-94.0909 44.7172
-93.8636 39.9486
-93.8636 39.9486
-93.6364 23.9332
-93.4091 14.3059
-93.1818 16.9152
-92.5 11.6967
-91.3636 9.53728
