Time in s	CH I in Volt	CH II in Volt	
0.E+0	5.20E-01	2.16E-02	
1.E-6	4.80E-01	-2.40E-03	
2.E-6	6.00E-01	1.92E-02	
3.E-6	6.60E-01	3.20E-02	
4.E-6	2.80E-01	-5.60E-03	
5.E-6	5.80E-01	4.80E-03	
6.E-6	6.20E-01	1.44E-02	
7.E-6	4.80E-01	-1.12E-02	
8.E-6	5.60E-01	2.88E-02	
9.E-6	6.20E-01	1.28E-02	
1.E-5	6.00E-01	-5.12E-02	
1.1E-5	4.80E-01	8.24E-02	
1.2E-5	5.00E-01	4.80E-03	
1.3E-5	5.60E-01	4.56E-02	
1.4E-5	6.00E-01	-8.80E-03	
1.5E-5	4.60E-01	-1.36E-02	
1.6E-5	3.00E-01	-2.72E-02	
1.7E-5	4.60E-01	3.04E-02	
1.8E-5	5.80E-01	3.60E-02	
1.9E-5	4.80E-01	1.28E-02	
2.E-5	4.40E-01	3.20E-03	
2.1E-5	6.00E-01	-6.40E-03	
2.2E-5	3.60E-01	-1.68E-02	
2.3E-5	6.20E-01	2.08E-02	
2.4E-5	6.00E-01	5.60E-03	
2.5E-5	5.80E-01	2.64E-02	
2.6E-5	4.00E-01	3.20E-03	
2.7E-5	4.80E-01	-4.00E-03	
2.8E-5	5.20E-01	-8.00E-04	
2.9E-5	5.80E-01	3.92E-02	
3.E-5	5.80E-01	-1.44E-02	
3.1E-5	2.60E-01	3.68E-02	
3.2E-5	5.60E-01	2.72E-02	
3.3E-5	5.20E-01	-1.92E-02	
3.4E-5	4.80E-01	1.28E-02	
3.5E-5	5.00E-01	5.04E-02	
3.6E-5	5.00E-01	-4.32E-02	
3.7E-5	6.40E-01	1.36E-02	
3.8E-5	3.60E-01	1.12E-02	
3.9E-5	5.20E-01	-1.20E-02	
4.E-5	4.60E-01	-8.00E-04	
4.1E-5	5.40E-01	4.24E-02	
4.2E-5	5.00E-01	-5.60E-03	
4.3E-5	5.60E-01	-4.00E-03	
4.4E-5	5.20E-01	4.80E-03	
4.5E-5	5.20E-01	2.40E-03	
4.6E-5	5.60E-01	1.84E-02	
4.7E-5	4.60E-01	1.20E-02	
4.8E-5	5.20E-01	8.00E-03	
4.9E-5	5.80E-01	6.24E-02	
5.E-5	4.40E-01	-6.40E-03	
5.1E-5	7.00E-01	3.20E-02	
5.2E-5	5.60E-01	3.20E-03	
5.3E-5	4.80E-01	4.80E-03	
5.4E-5	4.40E-01	-1.76E-02	
5.5E-5	5.80E-01	3.20E-03	
5.6E-5	5.20E-01	-3.44E-02	
5.7E-5	6.00E-01	1.28E-02	
5.8E-5	5.60E-01	6.48E-02	
5.9E-5	5.40E-01	1.12E-02	
6.E-5	6.80E-01	-4.96E-02	
6.1E-5	5.00E-01	4.56E-02	
6.2E-5	6.60E-01	-3.12E-02	
6.3E-5	5.40E-01	7.20E-03	
6.4E-5	7.80E-01	3.92E-02	
6.5E-5	5.60E-01	5.76E-02	
6.6E-5	4.80E-01	-4.00E-03	
6.7E-5	3.60E-01	-6.40E-03	
6.8E-5	6.80E-01	-3.20E-02	
6.9E-5	5.00E-01	-8.80E-03	
7.E-5	4.40E-01	1.60E-03	
7.1E-5	6.00E-01	8.00E-04	
7.2E-5	4.80E-01	3.20E-03	
7.3E-5	5.40E-01	1.44E-02	
7.4E-5	5.80E-01	5.12E-02	
7.5E-5	6.20E-01	-1.76E-02	
7.6E-5	6.00E-01	-1.44E-02	
7.7E-5	4.20E-01	-1.60E-02	
7.8E-5	3.80E-01	-2.40E-03	
7.9E-5	8.60E-01	2.56E-02	
8.E-5	5.80E-01	3.28E-02	
8.1E-5	5.20E-01	-3.12E-02	
8.2E-5	4.40E-01	3.20E-02	
8.3E-5	6.60E-01	-2.08E-02	
8.4E-5	5.00E-01	-4.40E-02	
8.5E-5	4.20E-01	4.08E-02	
8.6E-5	6.60E-01	-4.72E-02	
8.7E-5	5.00E-01	-3.60E-02	
8.8E-5	4.80E-01	4.00E-03	
8.9E-5	4.60E-01	-2.40E-02	
9.E-5	4.60E-01	1.84E-02	
9.1E-5	6.00E-01	-1.60E-03	
9.2E-5	4.40E-01	4.00E-03	
9.3E-5	3.40E-01	-8.00E-04	
9.4E-5	4.80E-01	-5.60E-03	
9.5E-5	4.80E-01	-2.72E-02	
9.6E-5	4.60E-01	2.80E-02	
9.7E-5	6.20E-01	-2.32E-02	
9.8E-5	4.40E-01	7.20E-03	
9.9E-5	6.00E-01	2.96E-02	
1.E-4	4.80E-01	2.24E-02	
1.01E-4	4.60E-01	7.20E-03	
1.02E-4	5.40E-01	6.40E-03	
1.03E-4	5.20E-01	-5.60E-03	
1.04E-4	4.60E-01	-1.12E-02	
1.05E-4	5.00E-01	-1.20E-02	
1.06E-4	5.40E-01	-2.40E-02	
1.07E-4	5.20E-01	3.20E-03	
1.08E-4	3.80E-01	2.88E-02	
1.09E-4	5.80E-01	1.52E-02	
1.1E-4	6.60E-01	-4.08E-02	
1.11E-4	4.00E-01	3.68E-02	
1.12E-4	5.80E-01	1.36E-02	
1.13E-4	6.00E-01	-4.48E-02	
1.14E-4	6.80E-01	2.16E-02	
1.15E-4	4.80E-01	-3.36E-02	
1.16E-4	4.60E-01	-1.12E-02	
1.17E-4	4.40E-01	-2.40E-02	
1.18E-4	5.20E-01	2.40E-02	
1.19E-4	4.80E-01	-1.92E-02	
1.2E-4	5.00E-01	3.20E-03	
1.21E-4	5.60E-01	-4.16E-02	
1.22E-4	4.60E-01	0.00E+00	
1.23E-4	4.00E-01	1.04E-02	
1.24E-4	6.00E-01	-4.88E-02	
1.25E-4	5.80E-01	4.72E-02	
1.26E-4	5.60E-01	8.00E-03	
1.27E-4	4.40E-01	8.80E-03	
1.28E-4	3.60E-01	-1.92E-02	
1.29E-4	7.40E-01	-2.40E-02	
1.3E-4	4.20E-01	-1.52E-02	
1.31E-4	3.60E-01	4.88E-02	
1.32E-4	5.60E-01	5.60E-03	
1.33E-4	5.60E-01	-5.36E-02	
1.34E-4	4.40E-01	3.76E-02	
1.35E-4	5.20E-01	2.40E-03	
1.36E-4	6.20E-01	-2.80E-02	
1.37E-4	5.40E-01	1.76E-02	
1.38E-4	5.80E-01	8.80E-03	
1.39E-4	3.40E-01	-4.48E-02	
1.4E-4	5.40E-01	-1.28E-02	
1.41E-4	5.80E-01	-4.80E-03	
1.42E-4	3.40E-01	2.24E-02	
1.43E-4	3.80E-01	-2.32E-02	
1.44E-4	5.60E-01	-2.72E-02	
1.45E-4	7.00E-01	-2.08E-02	
1.46E-4	4.20E-01	1.84E-02	
1.47E-4	5.40E-01	-2.48E-02	
1.48E-4	6.60E-01	-3.20E-03	
1.49E-4	4.60E-01	-1.36E-02	
1.5E-4	4.60E-01	-6.40E-03	
1.51E-4	6.20E-01	-2.24E-02	
1.52E-4	5.40E-01	-2.40E-02	
1.53E-4	5.00E-01	2.08E-02	
1.54E-4	5.00E-01	-1.68E-02	
1.55E-4	4.00E-01	-2.16E-02	
1.56E-4	6.00E-01	1.12E-02	
1.57E-4	6.60E-01	4.80E-03	
1.58E-4	4.80E-01	1.20E-02	
1.59E-4	5.80E-01	-2.72E-02	
1.6E-4	7.60E-01	-5.28E-02	
1.61E-4	3.60E-01	1.92E-02	
1.62E-4	4.60E-01	-1.60E-02	
1.63E-4	5.80E-01	2.16E-02	
1.64E-4	5.40E-01	1.12E-02	
1.65E-4	6.00E-01	-1.36E-02	
1.66E-4	5.40E-01	5.60E-03	
1.67E-4	5.60E-01	1.36E-02	
1.68E-4	7.40E-01	-5.20E-02	
1.69E-4	6.60E-01	-8.00E-03	
1.7E-4	6.20E-01	4.72E-02	
1.71E-4	5.60E-01	-4.48E-02	
1.72E-4	7.60E-01	2.64E-02	
1.73E-4	4.60E-01	4.16E-02	
1.74E-4	8.20E-01	-3.68E-02	
1.75E-4	6.40E-01	-6.40E-03	
1.76E-4	5.20E-01	2.24E-02	
1.77E-4	5.60E-01	-3.60E-02	
1.78E-4	5.00E-01	1.28E-02	
1.79E-4	7.80E-01	1.44E-02	
1.8E-4	5.80E-01	1.60E-03	
1.81E-4	6.40E-01	1.28E-02	
1.82E-4	6.60E-01	1.92E-02	
1.83E-4	6.00E-01	-4.96E-02	
1.84E-4	6.80E-01	4.80E-03	
1.85E-4	5.20E-01	-7.20E-03	
1.86E-4	7.20E-01	1.04E-02	
1.87E-4	3.80E-01	-2.56E-02	
1.88E-4	7.80E-01	-3.04E-02	
1.89E-4	7.00E-01	2.48E-02	
1.9E-4	8.00E-01	-3.60E-02	
1.91E-4	7.00E-01	-2.08E-02	
1.92E-4	5.20E-01	-1.12E-02	
1.93E-4	7.40E-01	-2.24E-02	
1.94E-4	7.60E-01	3.20E-03	
1.95E-4	6.00E-01	-2.32E-02	
1.96E-4	7.20E-01	-1.52E-02	
1.97E-4	7.80E-01	-2.96E-02	
1.98E-4	6.60E-01	-4.80E-03	
1.99E-4	6.60E-01	2.64E-02	
2.E-4	6.00E-01	1.84E-02	
2.01E-4	6.80E-01	-2.88E-02	
2.02E-4	5.80E-01	4.00E-03	
2.03E-4	8.00E-01	-1.12E-02	
2.04E-4	6.40E-01	1.44E-02	
2.05E-4	5.80E-01	-1.68E-02	
2.06E-4	6.40E-01	-3.52E-02	
2.07E-4	6.20E-01	4.80E-03	
2.08E-4	5.00E-01	-1.36E-02	
2.09E-4	7.60E-01	7.20E-03	
2.1E-4	6.80E-01	-4.00E-02	
2.11E-4	7.20E-01	1.04E-02	
2.12E-4	4.80E-01	4.64E-02	
2.13E-4	5.20E-01	-4.88E-02	
2.14E-4	5.40E-01	-1.76E-02	
2.15E-4	7.00E-01	-3.20E-02	
2.16E-4	6.40E-01	7.20E-03	
2.17E-4	4.00E-01	4.00E-03	
2.18E-4	7.40E-01	-2.16E-02	
2.19E-4	5.20E-01	-3.20E-02	
2.2E-4	5.40E-01	4.80E-03	
2.21E-4	6.20E-01	4.80E-03	
2.22E-4	5.80E-01	-2.64E-02	
2.23E-4	5.00E-01	-3.92E-02	
2.24E-4	5.80E-01	-1.68E-02	
2.25E-4	4.40E-01	-9.60E-03	
2.26E-4	5.00E-01	-2.80E-02	
2.27E-4	5.00E-01	-3.20E-03	
2.28E-4	4.20E-01	-3.92E-02	
2.29E-4	7.00E-01	6.40E-03	
2.3E-4	4.60E-01	1.36E-02	
2.31E-4	3.40E-01	-4.24E-02	
2.32E-4	5.80E-01	-4.32E-02	
2.33E-4	4.40E-01	-3.60E-02	
2.34E-4	3.40E-01	1.36E-02	
2.35E-4	4.80E-01	-3.68E-02	
2.36E-4	5.60E-01	-1.60E-03	
2.37E-4	3.80E-01	-3.84E-02	
2.38E-4	5.80E-01	1.68E-02	
2.39E-4	2.40E-01	-4.80E-02	
2.4E-4	2.80E-01	-2.32E-02	
2.41E-4	4.00E-01	-5.68E-02	
2.42E-4	2.40E-01	-2.00E-02	
2.43E-4	1.40E-01	-2.80E-02	
2.44E-4	5.40E-01	-5.28E-02	
2.45E-4	2.80E-01	1.60E-02	
2.46E-4	6.00E-02	-3.52E-02	
2.47E-4	3.00E-01	-2.80E-02	
2.48E-4	1.80E-01	-6.16E-02	
2.49E-4	4.00E-01	-6.40E-03	
2.5E-4	2.20E-01	-4.64E-02	
2.51E-4	4.00E-02	-2.56E-02	
2.52E-4	2.20E-01	-2.64E-02	
2.53E-4	5.00E-01	-3.52E-02	
2.54E-4	1.40E-01	-3.36E-02	
2.55E-4	4.00E-02	-2.32E-02	
2.56E-4	2.20E-01	-5.44E-02	
2.57E-4	2.00E-01	-8.00E-04	
2.58E-4	1.60E-01	-3.36E-02	
2.59E-4	2.40E-01	-3.36E-02	
2.6E-4	2.80E-01	-3.20E-03	
2.61E-4	1.00E-01	-6.48E-02	
2.62E-4	1.60E-01	4.00E-02	
2.63E-4	1.80E-01	-5.92E-02	
2.64E-4	2.20E-01	-4.40E-02	
2.65E-4	6.00E-02	-3.68E-02	
2.66E-4	1.00E-01	-3.28E-02	
2.67E-4	3.00E-01	-4.00E-02	
2.68E-4	1.00E-01	3.20E-03	
2.69E-4	1.20E-01	-6.16E-02	
2.7E-4	2.20E-01	-2.16E-02	
